contour_count,total_area,mean_contour_area,max_aspect_ratio,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,intensity_mean,intensity_std,intensity_min,intensity_max,texture_contrast,texture_dissimilarity,texture_homogeneity,texture_energy,texture_correlation,texture_ASM,image_path,defect_type
43,65293.0,1554.595238095238,128.0,2.5138324044280536,9.017036569673714,9.495827617586867,9.068649190547234,18.360727441218945,13.782663986154782,-19.027671933443195,156.8669455386892,16.104487115099943,60.0,202.0,1.3130083476027399,0.1931988441780822,0.9568757492023101,0.70585374812031,0.9646951293546756,0.49822951373548996,tmp_task2_demo\images\corrosion_000.png,corrosion
32,71611.0,2310.032258064516,39.38461538461539,2.544316304210344,7.310323568821255,10.549221374082192,9.585752952560112,19.738289067446164,13.428973135885037,19.897921091958175,155.36633176636863,15.071444657600338,53.0,200.0,1.757514371330724,0.2458414872798434,0.9489935143662683,0.6742992541117504,0.9544341174368157,0.4546794840956629,tmp_task2_demo\images\corrosion_001.png,corrosion
46,51924.0,1128.7826086956522,73.14285714285714,2.3656325923841237,6.455849244279007,8.901950323730416,9.41334094854443,19.46990309508411,13.103500663390044,-18.574473193615205,153.06712601394585,18.20967597890426,46.0,198.0,1.8080204256360077,0.24177470645792565,0.9532801736223728,0.7363730485066111,0.9448963231083283,0.5422452665669198,tmp_task2_demo\images\corrosion_002.png,corrosion
37,62507.0,1689.3783783783783,39.38461538461539,2.4975779449313045,8.303290855141174,10.500693086887527,9.755204344831181,20.06305389743969,14.429750449374195,20.00778905181854,152.20543010823974,21.086642410681375,52.0,208.0,1.4784238931017615,0.2126765839041096,0.954622217962211,0.7129567512193469,0.9573783808186318,0.5083073291092457,tmp_task2_demo\images\corrosion_003.png,corrosion
35,65735.5,1878.1571428571428,51.2,2.45220659375847,6.952441687511774,10.195910740711327,9.555945281935953,19.701181071351048,13.056887586224953,-19.50603746517794,151.44212644556524,23.61874189951403,46.0,208.0,1.735471960616438,0.2423365643346379,0.9499275358071189,0.6997568948072163,0.9509470611071001,0.4896597118302375,tmp_task2_demo\images\corrosion_004.png,corrosion
38,73483.0,1933.7631578947369,39.38461538461539,2.5340497481150703,7.334253219212515,9.273678770012427,9.277634024959841,18.5690281874102,13.02783219119402,19.131017412474545,145.5846600858204,26.3616492540127,41.0,204.0,1.5193248532289627,0.2330601761252446,0.9472196555940685,0.6712051967991882,0.9565286510472545,0.4505164162102369,tmp_task2_demo\images\corrosion_005.png,corrosion
56,64623.0,1174.9636363636364,35.5,2.4909894860895663,6.546852039322014,9.636687436179582,10.955957876186723,-21.2956227714207,14.362261714781267,21.62351279770547,143.95766096542232,30.15277988953308,38.0,215.0,1.8692935114970644,0.2635877874266145,0.9466529435105814,0.7048223033154221,0.9420899676307851,0.4967744792508569,tmp_task2_demo\images\corrosion_006.png,corrosion
36,104366.5,2899.0694444444443,134.0,2.784538456606603,7.680189525968472,11.217853889378251,10.719818333201443,-21.792433694987018,14.86730417783919,-21.898803286390105,146.4053869904956,32.765298967177884,43.0,211.0,1.609466731898238,0.2727189334637964,0.9316265762911662,0.5689746757129893,0.9608203956293951,0.3237321816027014,tmp_task2_demo\images\corrosion_007.png,corrosion
59,70373.0,1192.7627118644068,45.166666666666664,2.5913107091769665,6.4098082337420825,9.545473175332535,9.827781038374688,19.602594455833543,13.136994143347215,-19.752687683563494,136.630890422869,37.04370148993164,41.0,215.0,1.975010702054795,0.286088857632094,0.9403755910959044,0.682052408799854,0.9377916098934017,0.46519548834968305,tmp_task2_demo\images\corrosion_008.png,corrosion
33,93080.5,2820.621212121212,26.384615384615383,2.558789599575377,7.13018659789609,9.46745137378355,9.357240824578374,-20.70727202621029,12.926456318543229,-18.769615858063645,136.4401770619588,33.80277449088542,41.0,215.0,1.7341953583659486,0.2715225966242661,0.9371397259251755,0.6087021858203575,0.9501290426893972,0.37051835102248104,tmp_task2_demo\images\corrosion_009.png,corrosion
